/home/tedesco/miniconda3/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Device: cuda
Parameters: 824,458
step 00050 | loss: 0.7083 | dt: 1ms | remaining: 30s
step 00100 | loss: 0.5572 | dt: 1ms | remaining: 30s
step 00150 | loss: 0.4929 | dt: 1ms | remaining: 30s
step 00200 | loss: 0.4601 | dt: 1ms | remaining: 30s
step 00250 | loss: 0.4573 | dt: 1ms | remaining: 30s
step 00300 | loss: 0.3939 | dt: 1ms | remaining: 30s
step 00350 | loss: 0.3745 | dt: 1ms | remaining: 30s
step 00400 | loss: 0.3702 | dt: 1ms | remaining: 30s
step 00450 | loss: 0.3650 | dt: 1ms | remaining: 29s
step 00500 | loss: 0.3223 | dt: 1ms | remaining: 29s
step 00550 | loss: 0.3541 | dt: 1ms | remaining: 29s
step 00600 | loss: 0.3182 | dt: 1ms | remaining: 29s
step 00650 | loss: 0.3240 | dt: 1ms | remaining: 29s
step 00700 | loss: 0.3450 | dt: 1ms | remaining: 29s
step 00750 | loss: 0.3192 | dt: 1ms | remaining: 29s
step 00800 | loss: 0.2727 | dt: 1ms | remaining: 29s
step 00850 | loss: 0.2990 | dt: 1ms | remaining: 29s
step 00900 | loss: 0.2802 | dt: 1ms | remaining: 29s
step 00950 | loss: 0.2869 | dt: 1ms | remaining: 29s
step 01000 | loss: 0.2914 | dt: 1ms | remaining: 29s
step 01050 | loss: 0.2966 | dt: 1ms | remaining: 29s
step 01100 | loss: 0.2734 | dt: 1ms | remaining: 29s
step 01150 | loss: 0.2729 | dt: 1ms | remaining: 29s
step 01200 | loss: 0.2593 | dt: 1ms | remaining: 29s
step 01250 | loss: 0.2596 | dt: 1ms | remaining: 29s
step 01300 | loss: 0.2858 | dt: 1ms | remaining: 29s
step 01350 | loss: 0.2730 | dt: 1ms | remaining: 29s
step 01400 | loss: 0.2754 | dt: 1ms | remaining: 29s
step 01450 | loss: 0.2505 | dt: 1ms | remaining: 29s
step 01500 | loss: 0.2258 | dt: 1ms | remaining: 29s
step 01550 | loss: 0.2446 | dt: 1ms | remaining: 29s
step 01600 | loss: 0.2204 | dt: 1ms | remaining: 29s
step 01650 | loss: 0.2383 | dt: 1ms | remaining: 29s
step 01700 | loss: 0.2466 | dt: 1ms | remaining: 29s
step 01750 | loss: 0.2624 | dt: 1ms | remaining: 29s
step 01800 | loss: 0.2456 | dt: 1ms | remaining: 29s
step 01850 | loss: 0.2564 | dt: 1ms | remaining: 29s
step 01900 | loss: 0.1994 | dt: 1ms | remaining: 29s
step 01950 | loss: 0.2221 | dt: 1ms | remaining: 29s
step 02000 | loss: 0.2037 | dt: 1ms | remaining: 28s
step 02050 | loss: 0.2303 | dt: 1ms | remaining: 28s
step 02100 | loss: 0.2064 | dt: 1ms | remaining: 28s
step 02150 | loss: 0.2281 | dt: 1ms | remaining: 28s
step 02200 | loss: 0.2373 | dt: 1ms | remaining: 28s
step 02250 | loss: 0.2402 | dt: 1ms | remaining: 28s
step 02300 | loss: 0.2147 | dt: 1ms | remaining: 28s
step 02350 | loss: 0.2046 | dt: 1ms | remaining: 28s
step 02400 | loss: 0.1981 | dt: 1ms | remaining: 28s
step 02450 | loss: 0.1864 | dt: 1ms | remaining: 28s
step 02500 | loss: 0.1906 | dt: 1ms | remaining: 28s
step 02550 | loss: 0.2087 | dt: 1ms | remaining: 28s
step 02600 | loss: 0.2044 | dt: 1ms | remaining: 28s
step 02650 | loss: 0.1815 | dt: 1ms | remaining: 28s
step 02700 | loss: 0.1909 | dt: 1ms | remaining: 28s
step 02750 | loss: 0.2056 | dt: 1ms | remaining: 28s
step 02800 | loss: 0.2107 | dt: 1ms | remaining: 28s
step 02850 | loss: 0.1830 | dt: 1ms | remaining: 28s
step 02900 | loss: 0.1729 | dt: 1ms | remaining: 28s
step 02950 | loss: 0.1868 | dt: 1ms | remaining: 28s
step 03000 | loss: 0.2079 | dt: 1ms | remaining: 28s
step 03050 | loss: 0.1997 | dt: 1ms | remaining: 28s
step 03100 | loss: 0.1864 | dt: 1ms | remaining: 28s
step 03150 | loss: 0.1876 | dt: 1ms | remaining: 28s
step 03200 | loss: 0.1780 | dt: 1ms | remaining: 28s
step 03250 | loss: 0.1847 | dt: 1ms | remaining: 28s
step 03300 | loss: 0.1576 | dt: 1ms | remaining: 28s
step 03350 | loss: 0.1715 | dt: 1ms | remaining: 28s
step 03400 | loss: 0.1660 | dt: 1ms | remaining: 28s
step 03450 | loss: 0.2005 | dt: 1ms | remaining: 28s
step 03500 | loss: 0.1847 | dt: 1ms | remaining: 28s
step 03550 | loss: 0.1850 | dt: 1ms | remaining: 27s
step 03600 | loss: 0.1695 | dt: 1ms | remaining: 27s
step 03650 | loss: 0.1702 | dt: 1ms | remaining: 27s
step 03700 | loss: 0.1951 | dt: 1ms | remaining: 27s
step 03750 | loss: 0.1691 | dt: 1ms | remaining: 27s
step 03800 | loss: 0.1522 | dt: 1ms | remaining: 27s
step 03850 | loss: 0.1628 | dt: 1ms | remaining: 27s
step 03900 | loss: 0.1538 | dt: 1ms | remaining: 27s
step 03950 | loss: 0.1614 | dt: 1ms | remaining: 27s
step 04000 | loss: 0.1791 | dt: 1ms | remaining: 27s
step 04050 | loss: 0.1646 | dt: 1ms | remaining: 27s
step 04100 | loss: 0.1708 | dt: 1ms | remaining: 27s
step 04150 | loss: 0.1690 | dt: 1ms | remaining: 27s
step 04200 | loss: 0.1625 | dt: 1ms | remaining: 27s
step 04250 | loss: 0.1500 | dt: 1ms | remaining: 27s
step 04300 | loss: 0.1611 | dt: 1ms | remaining: 27s
step 04350 | loss: 0.1471 | dt: 1ms | remaining: 27s
step 04400 | loss: 0.1277 | dt: 1ms | remaining: 27s
step 04450 | loss: 0.1662 | dt: 1ms | remaining: 27s
step 04500 | loss: 0.1539 | dt: 1ms | remaining: 27s
step 04550 | loss: 0.1682 | dt: 1ms | remaining: 27s
step 04600 | loss: 0.1519 | dt: 1ms | remaining: 27s
step 04650 | loss: 0.1767 | dt: 1ms | remaining: 27s
step 04700 | loss: 0.1326 | dt: 1ms | remaining: 27s
step 04750 | loss: 0.1631 | dt: 1ms | remaining: 27s
step 04800 | loss: 0.1431 | dt: 1ms | remaining: 27s
step 04850 | loss: 0.1473 | dt: 1ms | remaining: 27s
step 04900 | loss: 0.1446 | dt: 1ms | remaining: 27s
step 04950 | loss: 0.1804 | dt: 1ms | remaining: 27s
step 05000 | loss: 0.1363 | dt: 1ms | remaining: 27s
step 05050 | loss: 0.1329 | dt: 1ms | remaining: 27s
step 05100 | loss: 0.1470 | dt: 1ms | remaining: 26s
step 05150 | loss: 0.1463 | dt: 1ms | remaining: 26s
step 05200 | loss: 0.1230 | dt: 1ms | remaining: 26s
step 05250 | loss: 0.1257 | dt: 1ms | remaining: 26s
step 05300 | loss: 0.1336 | dt: 1ms | remaining: 26s
step 05350 | loss: 0.1391 | dt: 1ms | remaining: 26s
step 05400 | loss: 0.1354 | dt: 1ms | remaining: 26s
step 05450 | loss: 0.1400 | dt: 1ms | remaining: 26s
step 05500 | loss: 0.1526 | dt: 1ms | remaining: 26s
step 05550 | loss: 0.1388 | dt: 1ms | remaining: 26s
step 05600 | loss: 0.1329 | dt: 1ms | remaining: 26s
step 05650 | loss: 0.1214 | dt: 1ms | remaining: 26s
step 05700 | loss: 0.1287 | dt: 1ms | remaining: 26s
step 05750 | loss: 0.1203 | dt: 1ms | remaining: 26s
step 05800 | loss: 0.1309 | dt: 1ms | remaining: 26s
step 05850 | loss: 0.1316 | dt: 1ms | remaining: 26s
step 05900 | loss: 0.1359 | dt: 1ms | remaining: 26s
step 05950 | loss: 0.1240 | dt: 1ms | remaining: 26s
step 06000 | loss: 0.1431 | dt: 1ms | remaining: 26s
step 06050 | loss: 0.1298 | dt: 1ms | remaining: 26s
step 06100 | loss: 0.1057 | dt: 1ms | remaining: 26s
step 06150 | loss: 0.1327 | dt: 1ms | remaining: 26s
step 06200 | loss: 0.1083 | dt: 1ms | remaining: 26s
step 06250 | loss: 0.1157 | dt: 1ms | remaining: 26s
step 06300 | loss: 0.1278 | dt: 1ms | remaining: 26s
step 06350 | loss: 0.1233 | dt: 1ms | remaining: 26s
step 06400 | loss: 0.1342 | dt: 1ms | remaining: 26s
step 06450 | loss: 0.1161 | dt: 1ms | remaining: 26s
step 06500 | loss: 0.1411 | dt: 1ms | remaining: 26s
step 06550 | loss: 0.1462 | dt: 1ms | remaining: 26s
step 06600 | loss: 0.0914 | dt: 1ms | remaining: 26s
step 06650 | loss: 0.0951 | dt: 1ms | remaining: 25s
step 06700 | loss: 0.1162 | dt: 1ms | remaining: 25s
step 06750 | loss: 0.1237 | dt: 1ms | remaining: 25s
step 06800 | loss: 0.0966 | dt: 1ms | remaining: 25s
step 06850 | loss: 0.1206 | dt: 1ms | remaining: 25s
step 06900 | loss: 0.1051 | dt: 1ms | remaining: 25s
step 06950 | loss: 0.1165 | dt: 1ms | remaining: 25s
step 07000 | loss: 0.1321 | dt: 1ms | remaining: 25s
step 07050 | loss: 0.1182 | dt: 1ms | remaining: 25s
step 07100 | loss: 0.1077 | dt: 1ms | remaining: 25s
step 07150 | loss: 0.1168 | dt: 1ms | remaining: 25s
step 07200 | loss: 0.1120 | dt: 1ms | remaining: 25s
step 07250 | loss: 0.1157 | dt: 1ms | remaining: 25s
step 07300 | loss: 0.1104 | dt: 1ms | remaining: 25s
step 07350 | loss: 0.1163 | dt: 1ms | remaining: 25s
step 07400 | loss: 0.1173 | dt: 1ms | remaining: 25s
step 07450 | loss: 0.1139 | dt: 1ms | remaining: 25s
step 07500 | loss: 0.0948 | dt: 1ms | remaining: 25s
step 07550 | loss: 0.1001 | dt: 1ms | remaining: 25s
step 07600 | loss: 0.0899 | dt: 1ms | remaining: 25s
step 07650 | loss: 0.0991 | dt: 1ms | remaining: 25s
step 07700 | loss: 0.1146 | dt: 1ms | remaining: 25s
step 07750 | loss: 0.0995 | dt: 1ms | remaining: 25s
step 07800 | loss: 0.1124 | dt: 1ms | remaining: 25s
step 07850 | loss: 0.1042 | dt: 1ms | remaining: 25s
step 07900 | loss: 0.1113 | dt: 1ms | remaining: 25s
step 07950 | loss: 0.1082 | dt: 1ms | remaining: 25s
step 08000 | loss: 0.0805 | dt: 1ms | remaining: 25s
step 08050 | loss: 0.0909 | dt: 1ms | remaining: 25s
step 08100 | loss: 0.0925 | dt: 1ms | remaining: 25s
step 08150 | loss: 0.0906 | dt: 1ms | remaining: 25s
step 08200 | loss: 0.0986 | dt: 1ms | remaining: 25s
step 08250 | loss: 0.0836 | dt: 1ms | remaining: 24s
step 08300 | loss: 0.1158 | dt: 1ms | remaining: 24s
step 08350 | loss: 0.1085 | dt: 1ms | remaining: 24s
step 08400 | loss: 0.1314 | dt: 1ms | remaining: 24s
step 08450 | loss: 0.0826 | dt: 1ms | remaining: 24s
step 08500 | loss: 0.0858 | dt: 1ms | remaining: 24s
step 08550 | loss: 0.0909 | dt: 1ms | remaining: 24s
step 08600 | loss: 0.0923 | dt: 1ms | remaining: 24s
step 08650 | loss: 0.1019 | dt: 1ms | remaining: 24s
step 08700 | loss: 0.1041 | dt: 1ms | remaining: 24s
step 08750 | loss: 0.0893 | dt: 1ms | remaining: 24s
step 08800 | loss: 0.0869 | dt: 1ms | remaining: 24s
step 08850 | loss: 0.0954 | dt: 1ms | remaining: 24s
step 08900 | loss: 0.0919 | dt: 1ms | remaining: 24s
step 08950 | loss: 0.0900 | dt: 1ms | remaining: 24s
step 09000 | loss: 0.0886 | dt: 1ms | remaining: 24s
step 09050 | loss: 0.0832 | dt: 1ms | remaining: 24s
step 09100 | loss: 0.0915 | dt: 1ms | remaining: 24s
step 09150 | loss: 0.0741 | dt: 1ms | remaining: 24s
step 09200 | loss: 0.1002 | dt: 1ms | remaining: 24s
step 09250 | loss: 0.1004 | dt: 1ms | remaining: 24s
step 09300 | loss: 0.0846 | dt: 1ms | remaining: 24s
step 09350 | loss: 0.1024 | dt: 1ms | remaining: 24s
