/home/tedesco/miniconda3/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Device: cuda
Parameters: 421,642
step 00050 | loss: 0.5411 | dt: 1ms | remaining: 20s
step 00100 | loss: 0.2653 | dt: 1ms | remaining: 20s
step 00150 | loss: 0.2074 | dt: 1ms | remaining: 20s
step 00200 | loss: 0.1887 | dt: 1ms | remaining: 20s
step 00250 | loss: 0.1708 | dt: 1ms | remaining: 20s
step 00300 | loss: 0.1525 | dt: 1ms | remaining: 20s
step 00350 | loss: 0.1214 | dt: 1ms | remaining: 20s
step 00400 | loss: 0.1572 | dt: 1ms | remaining: 19s
step 00450 | loss: 0.1228 | dt: 1ms | remaining: 19s
step 00500 | loss: 0.1226 | dt: 1ms | remaining: 19s
step 00550 | loss: 0.1073 | dt: 1ms | remaining: 19s
step 00600 | loss: 0.1245 | dt: 1ms | remaining: 19s
step 00650 | loss: 0.1250 | dt: 1ms | remaining: 19s
step 00700 | loss: 0.1028 | dt: 1ms | remaining: 19s
step 00750 | loss: 0.1060 | dt: 1ms | remaining: 19s
step 00800 | loss: 0.0933 | dt: 1ms | remaining: 19s
step 00850 | loss: 0.0921 | dt: 1ms | remaining: 19s
step 00900 | loss: 0.0811 | dt: 1ms | remaining: 19s
step 00950 | loss: 0.0821 | dt: 1ms | remaining: 19s
step 01000 | loss: 0.0813 | dt: 1ms | remaining: 19s
step 01050 | loss: 0.0771 | dt: 1ms | remaining: 19s
step 01100 | loss: 0.0974 | dt: 1ms | remaining: 19s
step 01150 | loss: 0.0922 | dt: 1ms | remaining: 19s
step 01200 | loss: 0.0985 | dt: 1ms | remaining: 19s
step 01250 | loss: 0.0902 | dt: 1ms | remaining: 19s
step 01300 | loss: 0.0703 | dt: 1ms | remaining: 19s
step 01350 | loss: 0.0912 | dt: 1ms | remaining: 19s
step 01400 | loss: 0.0753 | dt: 1ms | remaining: 19s
step 01450 | loss: 0.0559 | dt: 1ms | remaining: 19s
step 01500 | loss: 0.0786 | dt: 1ms | remaining: 19s
step 01550 | loss: 0.0712 | dt: 1ms | remaining: 19s
step 01600 | loss: 0.0808 | dt: 1ms | remaining: 19s
step 01650 | loss: 0.0766 | dt: 1ms | remaining: 19s
step 01700 | loss: 0.0605 | dt: 1ms | remaining: 19s
step 01750 | loss: 0.0635 | dt: 1ms | remaining: 19s
step 01800 | loss: 0.0669 | dt: 1ms | remaining: 19s
step 01850 | loss: 0.0693 | dt: 1ms | remaining: 19s
step 01900 | loss: 0.0531 | dt: 1ms | remaining: 18s
step 01950 | loss: 0.0464 | dt: 1ms | remaining: 18s
step 02000 | loss: 0.0664 | dt: 1ms | remaining: 18s
step 02050 | loss: 0.0701 | dt: 1ms | remaining: 18s
step 02100 | loss: 0.0628 | dt: 1ms | remaining: 18s
step 02150 | loss: 0.0547 | dt: 1ms | remaining: 18s
step 02200 | loss: 0.0527 | dt: 1ms | remaining: 18s
step 02250 | loss: 0.0463 | dt: 1ms | remaining: 18s
